REGISTRO;P0;P1;P2;P3;P3A;P4;P5A_1;P5B_1;P5A_2;P5B_2;P5A_3;P5B_3;P5A_4;P5B_4;P5A_5;P5B_5;P6;P7;P8;P9;P10;D1;D2;D3;D4;D5;D6;CA;AUT;HABI;POND
3227;1;1;4;97;4;97;1;5;1;7;1;5;1;5;1;5;4;98;2;1;1;3;3;1;2;4;1;21;17;1;1,1361
3240;1;2;1;2;;2;1;0;1;2;1;6;1;3;1;0;97;1;2;1;1;3;3;1;1;3;1;21;14;3;1,03525
3246;1;98;1;2;;2;1;6;1;6;1;8;1;7;1;6;2;1;2;1;1;1;1;2;3;3;1;16;16;3;0,98438
3252;1;1;1;98;5;98;1;1;1;1;1;6;1;6;1;0;2;1;96;2;1;2;3;2;3;5;6;13;13;3;0,97758
3253;1;1;1;11;;11;1;1;1;3;1;7;1;5;1;0;2;1;2;2;1;1;4;2;2;5;1;12;12;2;0,97777
3254;1;1;1;4;;4;1;5;1;8;1;2;1;0;1;3;4;2;2;1;1;3;3;1;2;5;1;1;1;2;1,01368
3269;1;2;1;2;;2;1;6;1;6;1;8;1;5;1;5;2;2;1;2;1;1;1;1;4;2;6;21;11;2;0,93958
3271;1;1;1;2;;5;1;0;1;0;1;10;1;8;1;0;2;1;2;2;1;1;3;1;3;4;6;13;13;4;0,91411
3282;1;2;1;98;98;4;1;5;1;7;1;2;1;1;1;5;98;98;2;1;1;3;2;1;2;3;1;21;14;3;1,04026
3294;1;1;1;2;;2;1;5;1;5;1;9;1;7;1;0;2;1;2;2;1;1;3;2;4;5;6;1;1;2;0,97768
3295;1;1;1;2;;2;1;0;1;0;1;8;1;3;1;0;2;1;2;2;1;2;3;1;3;2;5;10;10;1;1,07214
3296;1;1;1;2;;2;1;5;1;5;1;9;1;7;1;3;2;1;2;2;1;1;3;1;4;5;6;1;1;2;0,94316
3298;1;2;2;4;;97;1;5;1;7;1;3;1;3;1;3;4;2;1;1;98;4;3;2;2;5;1;13;13;1;1,12637
3300;1;3;1;98;5;5;1;1;1;3;1;6;1;4;1;0;2;1;2;2;2;2;3;1;1;2;1;13;13;4;0,99471
3313;1;1;1;2;;97;1;0;1;3;1;5;1;4;1;0;2;98;2;2;1;2;2;1;3;5;1;21;6;3;0,95135
3314;1;2;1;1;;1;1;7;1;4;1;0;1;0;1;0;1;2;2;1;1;4;1;1;4;2;6;7;7;1;1,02079
3316;1;1;1;5;;5;1;2;1;2;1;0;1;2;2;;97;1;2;2;1;3;1;1;2;4;1;8;8;2;1,00781
3317;1;1;1;1;;1;1;8;1;5;1;0;1;3;1;7;1;2;96;1;2;4;1;2;2;5;1;13;13;4;0,99318
3322;1;1;1;2;;2;1;8;1;0;1;6;1;8;2;;2;2;2;1;1;3;3;2;4;4;1;1;1;4;0,96981
3328;1;1;1;2;;94;1;0;1;2;1;5;1;0;1;0;2;1;2;1;2;2;3;2;1;3;1;1;1;1;1,22727
3333;1;2;1;7;;7;1;5;1;0;1;5;1;5;2;;97;1;1;2;2;1;5;2;2;3;1;9;9;1;1,08186
3348;1;1;1;4;;4;1;3;1;7;1;6;1;5;1;2;4;1;2;2;1;3;3;2;2;5;1;13;13;4;0,99318
3350;1;2;1;2;;2;1;0;1;0;1;6;1;0;1;0;2;1;2;2;1;1;3;1;4;2;6;7;7;1;1,02079
3351;1;1;1;14;;1;1;8;1;4;1;0;1;0;1;10;14;2;2;1;2;5;1;1;2;3;1;21;14;2;1,00985
3352;1;2;1;2;;2;1;3;1;6;1;6;1;3;1;0;2;1;96;2;2;2;3;2;3;5;1;8;8;2;0,94914
3363;1;3;1;94;97;94;2;;1;0;1;1;1;0;1;0;2;1;1;1;1;1;3;1;3;4;1;16;16;3;0,95589
3369;1;2;1;1;;1;1;10;1;6;1;2;1;4;1;4;1;2;96;2;1;5;1;1;3;4;1;8;8;1;1,0369
3370;1;2;3;4;;98;1;7;1;7;1;6;1;0;1;98;4;2;1;1;2;2;1;2;3;4;1;1;1;1;1,07404
3379;1;1;1;1;;1;1;6;1;6;1;2;1;2;1;6;95;2;2;1;1;4;98;1;3;5;1;13;13;4;0,91411
3380;1;1;1;99;2;2;1;4;1;8;1;5;1;4;1;0;4;1;96;2;1;3;3;2;3;3;1;9;9;2;0,91145
3392;1;1;3;98;97;95;1;3;1;7;1;7;1;5;1;5;97;99;98;2;2;3;3;1;1;4;1;13;13;4;0,99471
3393;1;2;1;14;;1;1;5;1;5;1;0;1;3;1;7;1;2;2;1;1;5;3;1;1;4;1;12;12;1;1,10176
3395;1;1;1;98;6;98;1;0;1;4;1;5;1;6;1;1;2;1;96;2;2;4;4;1;4;5;6;9;9;3;0,92758
3400;1;3;3;98;2;2;2;;1;98;1;10;1;0;2;;2;2;2;1;2;1;5;2;3;2;1;8;8;1;1,06781
3401;1;2;4;97;97;97;1;3;1;3;1;6;1;4;1;3;2;1;2;2;1;1;5;1;4;3;6;9;9;1;1,01303
3409;1;1;1;1;;1;1;9;1;8;1;0;1;0;1;8;1;2;2;1;1;5;3;1;2;2;5;9;9;3;0,99698
3416;1;1;1;13;;13;1;3;1;2;1;3;1;6;1;3;5;1;1;2;2;1;4;2;1;4;8;10;10;4;1,11237
3431;1;1;1;2;;2;1;3;1;3;1;10;1;5;1;2;2;1;1;2;2;1;1;2;4;3;6;12;12;1;1,06778
3436;1;4;1;7;;7;1;2;1;1;1;4;1;7;1;0;97;1;1;2;2;1;5;1;2;5;1;9;9;4;0,96004
3442;1;1;1;14;;1;1;8;1;7;1;0;1;0;1;10;14;2;2;1;1;4;2;1;3;3;1;10;10;3;0,98169
3445;1;1;1;5;;5;1;1;1;3;1;5;1;7;1;0;5;1;2;2;1;1;1;2;4;5;6;13;13;4;0,96404
3450;1;1;1;98;11;11;1;4;1;4;1;4;1;4;1;0;97;1;96;98;1;1;3;1;4;2;1;12;12;3;0,94317
3451;1;1;1;14;;1;1;6;1;5;1;0;1;0;1;5;1;2;2;1;1;4;3;1;3;2;1;21;4;1;1,03903
3455;1;2;1;98;97;5;1;3;1;3;1;3;1;5;1;3;97;1;98;2;98;1;98;1;3;3;5;8;8;3;0,94944
3458;1;2;3;98;97;96;1;6;1;6;1;6;1;6;2;;4;2;2;1;2;4;3;1;3;5;5;1;1;1;1,04298
3459;1;1;1;4;;4;1;0;1;8;1;0;1;0;1;8;4;2;2;1;98;4;1;1;2;5;1;21;14;3;1,04026
3460;1;2;1;98;1;4;1;6;1;5;1;1;1;1;1;4;98;2;1;1;2;4;1;1;2;3;1;7;7;1;1,09713
3466;1;2;1;98;13;13;1;6;1;8;1;5;1;7;2;;98;1;98;1;98;1;1;2;3;2;6;10;10;2;0,98138
3467;1;1;1;14;;4;1;4;1;7;1;0;1;2;1;6;4;2;2;1;1;4;1;1;2;5;1;1;1;1;1,14043
3478;1;1;1;14;;2;2;;1;0;1;0;1;0;1;10;14;2;99;99;1;99;1;1;3;5;1;13;13;4;0,91411
3490;1;1;1;98;98;11;1;1;1;3;1;8;1;6;1;0;2;1;96;2;2;2;4;1;2;5;1;12;12;2;0,98408
3498;1;2;1;1;;4;1;4;1;6;1;5;1;2;1;4;1;1;2;1;1;98;2;1;3;2;1;10;10;2;0,953
3500;1;2;1;98;14;2;1;5;1;3;1;3;1;4;1;2;1;2;2;1;1;3;5;1;4;2;1;1;1;1;1,06106
3504;1;4;1;98;97;2;1;0;1;0;1;0;1;0;1;0;97;98;98;1;2;98;1;2;4;2;1;7;7;1;1,05817
3506;1;3;1;4;;4;1;6;1;8;1;6;1;5;1;5;4;2;96;2;1;3;1;1;4;4;6;13;13;4;0,92997
3509;1;2;1;2;;1;1;3;1;4;1;5;1;5;1;6;2;1;2;1;98;5;5;1;3;2;5;1;1;2;0,92706
3511;1;1;1;98;98;5;1;0;1;1;1;3;1;6;1;0;97;1;96;2;1;1;3;1;2;3;1;13;13;4;0,99956
3516;1;1;1;2;;2;1;2;1;5;1;7;1;5;1;0;2;1;1;2;1;2;1;2;4;3;6;13;13;4;0,96404
3518;1;1;1;2;;8;1;2;1;4;1;7;1;5;1;1;2;1;2;2;1;2;1;1;4;3;6;9;9;4;0,89323
3529;1;1;1;1;;1;1;8;1;3;1;2;1;3;1;2;1;2;2;1;1;4;3;1;3;5;1;13;13;4;0,91411
3540;1;2;1;2;;2;1;7;1;3;1;10;1;0;1;5;2;1;2;2;1;1;1;2;4;4;6;5;5;3;1,02368
3541;1;3;3;97;97;97;1;0;1;0;1;2;1;0;2;;97;1;96;2;2;2;4;1;2;4;1;16;16;3;1,04522
3545;1;98;1;2;;2;1;0;1;2;1;4;1;3;1;1;97;98;2;98;98;98;3;2;3;2;5;12;12;2;0,92677
3552;1;1;1;4;;2;1;0;1;6;1;4;1;0;2;;4;1;2;2;1;1;98;2;2;4;1;21;2;1;1,12885
3558;1;1;1;2;;2;1;2;1;5;1;6;1;4;1;1;2;1;2;2;1;2;3;1;2;5;1;13;13;3;1,03801
3575;1;4;4;97;97;97;2;;2;;1;0;2;;2;;97;98;96;98;98;98;4;2;4;1;6;1;1;3;1,00713
3579;1;2;1;5;;97;1;4;1;5;1;0;1;5;1;3;5;2;2;1;1;1;1;2;4;5;6;21;4;3;1,00332
3590;1;1;1;4;;4;1;5;1;10;1;0;1;0;1;1;4;2;99;1;1;4;3;2;4;3;7;1;1;2;0,97768
3594;1;1;1;95;;5;1;2;1;4;1;5;1;5;1;1;97;1;2;2;1;1;1;2;4;5;6;13;13;2;0,97185
3599;1;3;1;4;;2;1;5;1;6;1;5;1;8;2;;5;98;2;2;2;1;1;2;2;3;5;10;10;2;1,03536
3605;1;2;1;96;97;96;1;0;1;2;1;3;1;0;1;0;97;98;96;98;1;3;1;1;3;5;1;13;13;2;0,92153
3612;1;2;1;99;99;99;1;5;1;98;1;5;1;5;2;;99;1;99;99;98;99;1;2;2;1;7;21;14;3;1,03361
3614;1;1;1;98;98;1;1;5;1;5;1;0;1;4;1;98;1;2;96;2;1;4;3;1;4;5;1;21;2;1;1,05705
3616;1;1;1;5;;5;1;3;1;4;1;9;1;10;1;3;5;1;2;2;1;1;3;1;2;5;1;8;8;2;1,00781
3639;1;1;1;5;;5;1;0;1;0;1;7;1;9;1;0;5;1;96;2;2;1;5;1;3;5;5;5;5;3;0,97069
3651;1;1;1;98;4;4;1;6;1;8;1;2;1;0;1;7;4;98;96;1;2;5;1;1;1;3;1;21;2;2;1,00496
3652;1;98;98;98;97;97;2;;2;;1;4;2;;2;;98;1;96;2;1;99;3;2;4;2;6;9;9;1;1,05012
3654;1;2;2;4;;4;1;5;1;8;1;0;1;3;1;0;4;2;96;1;1;98;3;2;4;2;6;10;10;2;1,00501
3660;1;2;1;99;99;99;1;6;1;6;1;7;1;5;1;3;99;1;2;2;1;3;3;1;3;5;1;9;9;4;0,87798
3663;1;1;1;99;99;94;1;2;1;5;1;2;1;2;1;2;97;2;2;1;1;3;3;1;2;5;1;5;5;3;1,06139
3667;1;1;1;99;99;99;1;3;1;4;1;7;1;6;1;4;97;1;96;2;2;1;3;2;3;5;1;9;9;2;0,91145
3671;1;3;1;96;97;7;1;0;1;0;1;5;1;6;1;0;5;1;1;2;2;1;3;2;4;5;6;9;9;2;0,93342
3677;1;4;2;14;;97;1;8;1;1;1;0;1;0;1;10;14;2;1;1;1;98;1;2;3;3;7;16;16;3;0,98438
3681;1;1;1;2;;7;1;7;1;7;1;9;1;8;1;6;2;1;96;2;1;2;3;1;4;5;6;9;9;3;0,92758
3684;1;1;1;7;;7;1;0;1;2;1;5;1;5;1;0;2;1;1;2;2;1;4;1;4;5;1;9;9;3;0,92758
3687;1;1;1;7;;98;1;0;1;3;1;5;1;5;1;0;98;1;1;2;2;1;3;1;4;4;6;9;9;1;1,01303
3688;1;1;1;8;;8;1;3;1;5;1;5;1;5;1;0;97;1;96;2;2;2;3;1;2;2;1;9;9;4;0,96004
3689;1;2;1;1;;1;1;8;1;5;1;4;1;0;1;6;1;2;2;2;1;4;4;2;4;5;6;21;2;2;0,97399
3711;1;2;1;7;;7;1;1;1;1;1;5;1;7;1;0;97;1;1;2;2;1;98;1;3;4;1;9;9;2;0,8851
3714;1;2;1;7;;7;1;2;1;2;1;7;1;6;1;98;2;1;2;2;1;1;4;2;4;5;6;9;9;3;0,96154
3715;1;1;1;14;;1;1;5;1;4;1;0;1;0;1;8;14;2;96;1;1;4;3;2;3;4;5;9;9;2;0,91145
3723;1;1;1;2;;2;1;3;1;5;1;9;1;5;1;1;2;1;2;2;1;1;1;2;4;2;6;21;3;1;1,09576
3725;1;1;3;98;98;99;1;0;1;0;1;6;1;4;1;0;95;1;96;2;2;2;3;1;4;3;6;9;9;3;0,92758
3728;1;2;1;4;;2;1;3;1;6;1;3;1;1;1;1;4;1;2;2;1;2;3;1;3;4;6;9;9;2;0,8851
3752;1;2;1;99;98;98;1;98;1;98;1;0;1;98;1;98;98;2;2;1;98;98;3;2;4;2;7;21;3;1;1,09576
3756;1;2;1;2;;6;1;0;1;0;1;10;1;8;1;7;2;1;2;1;1;1;3;1;3;2;1;9;9;1;0,99576
3763;1;1;1;2;;7;1;6;1;3;1;8;1;7;1;6;2;1;1;2;2;1;4;1;3;4;1;9;9;2;0,8851
3764;1;1;1;99;99;99;1;10;1;10;1;10;1;10;1;10;98;1;2;2;1;98;1;2;3;4;1;5;5;2;0,97037
3784;1;2;1;7;;7;1;0;1;0;1;3;1;4;1;0;97;1;1;2;2;4;5;2;4;3;1;9;9;1;1,05012
3788;1;2;3;5;;5;1;5;1;5;1;6;1;8;2;;5;2;2;1;1;2;3;2;3;4;5;21;3;3;0,97972
3797;1;2;1;2;;97;2;;1;5;1;7;1;5;2;;2;1;2;2;2;3;1;2;2;5;1;21;4;3;1,03361
3808;1;1;1;4;;5;1;0;1;5;1;4;1;3;1;0;4;2;2;2;1;2;1;1;2;4;1;13;13;3;1,03801
3811;1;4;1;98;98;7;2;;1;10;1;8;1;5;1;0;95;1;1;2;2;98;5;1;4;4;1;16;16;2;0,94404
3830;1;1;1;99;99;99;1;0;1;0;1;4;1;4;1;0;2;1;2;2;2;1;3;2;1;5;1;7;7;1;1,18069
3836;1;1;1;2;;98;1;1;1;5;1;7;1;7;1;1;2;98;2;1;2;1;3;2;1;5;1;1;1;4;1,08211
3844;1;2;1;5;;5;1;1;1;2;1;4;1;4;1;0;2;1;2;2;1;1;1;1;3;3;1;21;14;2;0,92354
3853;1;1;1;2;;8;1;2;1;7;1;7;1;4;1;5;4;1;2;1;1;1;3;1;2;5;1;9;9;4;0,96004
3858;1;1;1;1;;1;1;8;1;8;1;1;1;1;1;8;1;2;96;1;1;4;1;2;2;5;1;1;1;3;1,03754
3869;1;1;1;7;;6;1;0;1;0;1;6;1;6;1;0;5;1;1;2;2;2;5;2;4;4;6;9;9;2;0,93342
3871;1;2;1;1;;4;1;6;1;8;1;4;1;3;1;98;4;2;2;1;1;5;3;1;4;3;6;10;10;3;0,99872
3879;1;4;3;97;5;5;1;0;1;4;1;7;1;5;1;0;5;1;1;2;2;1;5;1;1;4;1;21;15;1;1,13063
3880;1;99;1;99;99;99;1;98;1;0;1;0;1;0;2;;97;2;2;1;2;99;1;2;3;4;5;21;6;3;0,97972
3888;1;4;1;96;97;98;1;0;1;0;1;0;1;0;1;0;97;2;2;2;1;3;3;1;4;1;5;1;1;2;0,94316
3892;1;1;1;4;;4;1;7;1;10;1;5;1;3;1;5;4;2;2;1;1;4;3;2;3;4;1;7;7;1;1,03326
3901;1;2;1;14;;1;1;5;1;6;1;5;1;0;1;8;14;2;2;1;2;3;1;1;3;2;1;8;8;2;0,92168
3902;1;4;1;14;;97;2;;2;;1;10;1;0;2;;2;2;2;2;1;1;5;1;1;2;1;1;1;3;1,03917
3905;1;2;2;98;97;98;1;4;1;5;1;0;1;0;1;3;4;2;2;1;1;98;3;2;4;2;6;7;7;3;0,96891
3926;1;3;2;2;;2;1;4;1;3;1;4;1;4;2;;2;1;2;1;2;2;3;2;2;3;5;8;8;2;1,00136
3931;1;1;1;1;;1;1;8;1;7;1;2;1;1;1;5;1;1;2;1;1;4;1;2;4;4;6;1;1;4;0,96981
3946;1;2;1;1;;1;1;10;1;10;1;0;1;3;1;9;1;2;96;1;2;4;3;2;3;3;7;1;1;1;1,07404
3957;1;1;1;2;;5;1;2;1;2;1;7;1;4;1;0;2;1;2;2;1;1;1;1;2;3;1;1;1;2;1,01368
3963;1;1;1;98;98;1;1;5;1;3;1;0;1;0;1;8;14;2;2;2;1;4;1;1;2;4;1;1;1;2;1,01368
3966;1;2;1;99;97;2;2;;1;5;1;8;1;6;1;8;97;98;2;1;98;98;3;1;4;5;6;21;11;2;0,93958
3978;1;2;1;5;;5;1;0;1;1;1;7;1;4;1;0;2;1;2;2;2;1;3;2;4;5;1;1;1;2;0,97768
3983;1;1;1;2;;2;1;1;1;3;1;6;1;7;1;1;2;1;1;2;2;3;3;1;3;5;1;9;9;3;0,91175
3989;1;4;4;97;97;2;1;0;1;0;1;0;1;0;1;0;97;1;2;1;1;2;3;1;2;5;5;12;12;2;0,98408
3994;1;3;1;14;;1;1;6;1;10;1;0;1;0;1;5;4;2;2;1;1;99;3;1;4;3;6;1;1;2;0,94316
3995;1;1;1;4;;4;1;7;1;10;1;5;1;1;1;3;4;2;2;1;2;3;3;1;2;5;1;1;1;1;1,14043
4015;1;2;1;14;;1;1;7;1;2;1;0;1;0;1;10;14;2;2;1;1;5;1;1;3;5;1;10;10;1;1,07214
4017;1;2;2;98;98;4;1;1;1;6;1;3;1;6;1;1;4;1;1;2;2;3;4;1;3;5;1;10;10;4;0,94532
4032;1;1;1;2;;2;1;0;1;0;1;7;1;3;1;0;2;2;2;2;1;1;3;2;2;5;1;10;10;4;1,02703
4036;1;1;1;11;;11;1;2;1;2;1;6;1;5;1;0;97;1;96;2;1;1;4;2;1;5;8;12;12;3;1,0909
4059;1;3;1;1;;1;1;7;1;6;1;3;1;2;1;3;1;2;1;1;1;4;3;1;2;3;1;21;11;2;1,00985
4069;1;1;4;97;1;97;1;98;1;8;1;0;1;4;1;98;4;98;2;1;2;4;1;2;1;2;7;21;6;2;1,08674
4072;1;1;1;7;;7;1;0;1;0;1;0;1;1;1;0;97;1;1;2;2;1;5;1;4;5;6;9;9;3;0,92758
4075;1;2;1;4;;4;1;5;1;9;1;1;1;0;1;5;4;98;98;1;2;5;1;2;2;3;1;13;13;3;1,03136
4085;1;4;1;2;;2;1;1;1;4;1;7;1;3;1;2;97;2;2;2;1;1;1;1;4;2;6;8;8;1;1,05491
4086;1;1;1;4;;2;1;5;1;8;1;7;1;5;1;3;4;1;2;2;1;2;3;1;1;3;1;10;10;2;1,037
4097;1;2;1;2;;2;1;99;1;99;1;99;1;99;1;99;2;2;99;98;1;1;1;1;2;1;5;1;1;2;1,01368
4101;1;1;1;2;;2;1;5;1;5;1;9;1;8;1;0;2;1;1;2;1;2;3;1;4;2;6;1;1;2;0,94316
4113;1;4;3;97;1;1;1;8;1;7;1;0;1;0;1;0;4;2;96;1;2;4;3;1;3;2;1;1;1;4;0,91961
4115;1;1;1;8;;8;1;0;1;0;1;7;1;7;1;0;2;1;96;1;1;1;3;1;4;3;1;9;9;2;0,90047
4126;1;2;2;1;;97;2;;1;7;1;6;1;5;2;;4;2;2;98;1;2;1;1;1;2;8;21;4;3;1,03525
4129;1;1;1;14;;1;1;8;1;1;1;0;1;0;1;10;14;2;1;1;1;5;2;2;3;3;7;21;4;2;0,95107
4142;1;1;1;4;;4;1;6;1;8;1;5;1;3;1;7;4;1;2;2;1;2;3;1;3;5;1;9;9;2;0,8851
4146;1;2;1;1;;1;1;6;1;6;1;3;1;4;1;98;1;2;2;2;1;3;3;1;3;4;1;21;15;1;1,03903
4147;1;3;2;95;;4;1;2;1;6;1;1;1;1;2;;4;2;2;1;1;3;3;2;1;5;1;21;17;3;1,1195
4155;1;2;1;14;;1;1;8;1;7;1;3;1;2;1;9;1;2;2;1;2;5;1;1;2;2;1;1;1;2;1,01368
4175;1;1;1;1;;1;1;10;1;8;1;5;1;3;1;98;1;2;2;2;1;5;1;2;4;3;7;12;12;2;0,94911
4180;1;1;1;95;;94;1;1;1;1;1;5;1;7;1;0;5;1;2;2;1;1;98;1;4;5;6;1;1;2;0,94316
4192;1;1;1;98;1;1;1;10;1;8;1;0;1;0;1;10;1;2;2;2;1;5;2;2;4;3;7;13;13;4;0,96404
4198;1;98;3;98;98;2;1;98;1;8;1;0;1;0;1;98;98;1;1;98;98;3;5;2;4;1;6;8;8;1;1,09354
4203;1;3;1;94;2;2;1;6;1;6;1;8;1;3;1;4;2;1;2;1;2;2;3;1;1;2;5;7;7;1;1,09184
4213;1;1;1;2;;2;1;3;1;4;1;9;1;0;1;1;2;1;2;1;1;1;1;1;3;5;5;1;1;2;0,92706
4215;1;1;1;14;;2;1;3;1;6;1;5;1;4;1;5;4;2;2;2;1;1;3;1;4;5;1;12;12;2;0,91559
4216;1;2;1;4;;1;1;6;1;8;1;5;1;4;1;5;4;1;2;1;1;2;3;2;4;5;1;21;11;2;0,97399
4219;1;2;1;1;;1;1;6;1;5;1;2;1;1;1;2;1;2;2;1;1;3;3;1;4;3;6;13;13;4;0,92997
4224;1;1;1;2;;2;1;6;1;6;1;8;1;5;1;5;2;1;2;1;2;98;3;2;3;4;1;1;1;2;0,95469
4232;1;1;1;2;;2;1;0;1;3;1;9;1;0;1;0;2;1;2;2;1;1;2;2;4;1;6;13;13;4;0,96404
4247;1;1;1;13;;13;1;1;1;2;1;7;1;5;1;0;2;1;2;2;98;1;3;1;4;5;1;10;10;2;0,96954
4313;1;2;1;94;97;2;1;5;1;3;1;7;1;4;1;0;2;1;96;98;98;98;1;2;3;2;5;10;10;3;1,01095
4331;1;98;1;2;;2;1;0;1;0;1;10;1;10;1;0;2;1;2;1;98;98;5;2;4;2;7;21;11;2;0,97399
4337;1;1;1;14;;4;1;6;1;4;1;2;1;6;1;6;1;2;1;1;1;4;3;1;1;3;8;13;13;3;1,033
4341;1;1;1;1;;1;1;10;1;7;1;5;1;3;1;1;1;2;2;2;1;4;2;2;4;2;6;13;13;4;0,96404
4344;1;4;4;97;2;2;1;0;1;3;1;9;1;7;1;0;2;1;96;2;2;1;3;2;4;2;6;7;7;1;1,05817
4372;1;2;2;98;11;95;1;0;1;5;1;5;1;5;1;0;2;1;96;1;98;1;4;2;1;5;5;12;12;2;1,05899
4373;1;98;1;99;99;2;1;0;1;0;1;10;1;6;1;0;2;98;2;98;98;1;3;2;4;1;6;7;7;1;1,05817
4376;1;2;1;2;;97;1;3;1;4;1;10;1;7;1;0;2;1;96;2;1;2;1;1;4;2;6;10;10;2;0,96954
4378;1;2;1;99;4;4;2;;1;8;1;5;1;0;1;6;4;99;96;99;99;99;3;2;3;2;1;1;1;2;0,95469
4404;1;1;1;2;;2;1;4;1;2;1;6;1;5;2;;2;1;96;2;1;2;98;2;3;3;1;13;13;4;0,94134
4408;1;2;1;1;;1;1;8;1;5;1;0;1;0;1;7;1;2;2;1;1;4;3;2;4;5;7;1;1;3;1,00713
4417;1;2;1;7;;6;1;2;1;2;1;6;1;5;1;1;5;1;99;2;2;2;5;1;4;2;6;9;9;3;0,92758
4421;1;2;1;95;;2;1;3;1;4;1;6;1;4;1;2;97;1;96;98;1;3;3;2;4;4;6;9;9;3;0,96154
4424;1;1;1;7;;7;1;0;1;0;1;0;1;3;1;3;97;1;1;2;2;2;5;2;2;5;1;9;9;2;0,96163
4437;1;1;1;98;5;5;1;2;1;2;1;8;1;8;1;0;2;1;98;2;1;1;3;1;4;4;6;13;13;4;0,92997
4438;1;2;1;1;;4;1;7;1;6;1;1;1;1;1;5;1;2;1;1;1;2;3;1;4;5;6;1;1;2;0,94316
4445;1;1;1;5;;5;1;1;1;2;1;6;1;9;1;1;5;1;96;2;2;1;3;1;1;4;8;21;4;3;1,03525
4450;1;1;1;98;2;97;1;2;1;3;1;6;1;3;1;0;2;1;2;2;1;1;4;1;4;3;6;1;1;3;0,97157
4472;1;2;1;7;;7;1;0;1;0;1;3;1;3;1;3;97;1;1;2;2;1;4;2;4;3;7;9;9;2;0,93342
4479;1;2;1;2;;5;1;98;1;0;1;8;1;8;1;98;2;1;2;2;1;2;1;1;4;2;5;21;14;2;0,93958
4524;1;1;1;2;;5;1;0;1;5;1;9;1;6;1;0;2;1;96;2;1;1;1;1;4;2;6;21;2;4;0,93203
4530;1;1;1;98;4;2;1;4;1;6;1;6;1;3;1;2;4;2;96;2;1;3;3;2;4;1;6;13;13;3;1,00115
4531;1;1;2;1;;1;1;8;1;5;1;0;1;0;1;4;1;2;98;1;1;5;3;2;3;2;6;21;11;3;0,97972
4546;1;2;1;99;99;1;1;8;1;8;1;4;1;0;1;5;98;2;2;1;1;4;3;2;4;3;6;16;16;3;1,00808
4551;1;1;1;4;;1;1;6;1;10;1;5;1;4;1;0;4;2;2;1;1;2;3;1;4;3;6;12;12;2;0,91559
4557;1;1;1;1;;1;1;10;1;8;1;0;1;0;1;6;1;2;96;1;1;5;3;2;4;2;6;1;1;3;1,00713
4565;1;1;1;1;;1;1;8;1;5;1;0;1;0;1;98;1;2;96;1;1;5;3;1;4;5;6;21;14;3;0,96788
4572;1;99;1;99;97;99;1;0;1;99;1;99;1;0;1;99;97;99;2;1;98;98;4;2;4;2;6;1;1;2;0,97768
4575;1;2;1;7;;7;1;0;1;2;1;5;1;4;1;0;97;1;1;2;2;2;5;2;3;3;7;9;9;2;0,91145
4579;1;1;1;2;;2;1;0;1;3;1;7;1;6;1;0;2;1;2;2;1;2;3;2;4;1;7;1;1;3;1,00713
4592;1;1;1;99;98;2;1;6;1;6;1;5;1;0;1;5;98;2;2;1;1;3;2;2;4;2;7;7;7;3;0,96891
4607;1;2;1;2;;2;1;3;1;3;1;8;1;5;1;7;2;1;1;2;2;1;3;2;2;2;1;9;9;1;1,08186
4617;1;2;1;13;;97;1;0;1;0;1;0;1;3;1;0;5;1;1;2;2;1;5;1;1;3;8;10;10;3;1,06823
4620;1;2;1;2;;2;1;4;1;6;1;9;1;4;2;;2;1;2;2;1;1;3;2;3;5;5;13;13;2;0,94898
4623;1;3;1;2;;2;1;0;1;0;1;10;1;8;1;0;2;1;2;2;2;1;3;2;4;1;6;21;14;3;1,00332
4628;1;1;1;2;;2;2;;1;2;1;10;1;8;2;;2;98;96;98;98;1;3;1;4;2;6;1;1;2;0,94316
4635;1;2;1;2;;2;1;0;1;0;1;10;1;7;1;0;2;98;2;2;98;1;3;2;4;1;6;12;12;1;1,06778
4637;1;1;1;98;98;1;1;10;1;10;1;3;1;5;1;10;1;1;2;1;1;5;3;2;4;2;7;12;12;2;0,94911
4650;1;1;1;14;;1;1;1;1;5;1;0;1;5;1;98;97;2;1;1;2;3;3;2;4;2;7;1;1;1;1,09993
4655;1;2;98;99;97;99;1;98;1;98;1;98;1;4;1;98;97;2;98;2;1;98;1;1;3;2;5;21;14;3;0,95135
4663;1;4;4;97;97;97;1;99;1;99;1;99;1;99;1;99;97;98;96;98;1;1;98;1;3;5;1;13;13;4;0,91411
4664;1;1;1;2;;2;1;0;1;0;1;8;1;5;1;0;2;1;96;2;1;1;3;1;4;5;1;21;4;2;0,93958
4689;1;2;3;14;;1;1;6;1;4;1;0;1;0;1;10;14;2;96;1;1;5;1;1;4;5;6;21;14;3;0,96788
4712;1;1;1;14;;14;1;8;1;4;1;0;1;0;1;10;14;2;96;1;2;5;3;2;3;5;5;1;1;4;0,947
4725;1;1;1;99;98;6;1;4;1;3;1;2;1;5;1;5;4;1;1;2;1;3;98;2;2;2;1;9;9;2;0,96163
4735;1;1;1;11;;11;1;0;1;2;1;6;1;8;1;0;5;1;98;2;2;1;3;1;4;5;1;12;12;2;0,91559
